id;question_id;content;value
7;4;17 oder jünger;
8;4;18-20;
9;4;21-29;
10;4;30-39;
11;4;40-49;
12;4;50-59;
13;4;60 oder älter;
14;5;Weiblich;
15;5;Männlich;
16;5;Anderes;
17;6;Kein Schulabschluss;
18;6;Grund-/Hauptschulabschluss;
19;6;Realschule (Mittlere Reife);
20;6;Gymnasium (Abitur);
21;6;Abgeschlossene Ausbildung;
22;6;Fachhochschulabschluss;
23;6;Hochschule (Bachelor);
24;6;Hochschule (Master);
25;6;Hochschule (Diplom);
26;6;Hochschule (Magister);
27;6;Hochschule (Promotion);
28;6;Andere;
