id;questionnaireid;submitted;complete;grade;userid
20;2;1665059039;y;"0";72
21;2;1665142146;y;"0";74
22;2;1665148909;y;"0";75
23;2;1665153218;y;"0";76
24;2;1665336051;y;"0";78
25;2;1665741611;y;"0";87
26;2;1666021503;y;"0";91
27;2;1666246447;y;"0";111
28;2;1666247071;y;"0";133
29;2;1666247104;y;"0";134
30;2;1666247157;y;"0";135
31;2;1666247280;y;"0";137
32;2;1666247291;y;"0";138
33;2;1666247319;y;"0";139
34;2;1666247386;y;"0";140
35;2;1666247479;y;"0";143
36;2;1666247626;y;"0";147
37;2;1666247745;y;"0";148
38;2;1666247751;y;"0";149
39;2;1666247921;y;"0";150
40;2;1666248561;y;"0";153
41;2;1666248702;y;"0";155
42;2;1666248943;y;"0";158
43;2;1666248961;y;"0";159
44;2;1666249192;y;"0";161
45;2;1666249303;y;"0";162
46;2;1666249439;y;"0";163
47;2;1666249530;y;"0";164
48;2;1666249667;y;"0";166
49;2;1666250029;y;"0";168
50;2;1666250135;y;"0";167
51;2;1666250968;y;"0";172
52;2;1666251008;y;"0";173
53;2;1666251361;y;"0";176
54;2;1666252090;y;"0";182
55;2;1666252761;y;"0";189
56;2;1666253079;y;"0";194
57;2;1666253157;y;"0";192
58;2;1666254842;y;"0";203
59;2;1666254870;y;"0";204
60;2;1666256064;y;"0";212
61;2;1666256300;y;"0";213
62;2;1666256332;y;"0";214
63;2;1666256540;y;"0";216
64;2;1666256682;y;"0";218
65;2;1666256996;y;"0";219
66;2;1666259907;y;"0";226
67;2;1666260703;y;"0";229
68;2;1666261379;y;"0";232
69;2;1666261872;y;"0";235
70;2;1666262110;y;"0";236
71;2;1666262557;y;"0";238
72;2;1666262653;y;"0";239
73;2;1666263439;y;"0";210
74;2;1666263535;y;"0";240
75;2;1666263764;y;"0";242
76;2;1666263958;y;"0";246
77;2;1666264177;y;"0";247
78;2;1666264284;y;"0";248
79;2;1666264435;y;"0";249
80;2;1666264474;y;"0";250
81;2;1666265099;y;"0";251
82;2;1666265121;y;"0";252
83;2;1666265330;y;"0";255
84;2;1666265347;y;"0";254
85;2;1666265624;y;"0";256
86;2;1666266137;y;"0";259
87;2;1666266376;y;"0";261
88;2;1666266827;y;"0";264
89;2;1666267092;y;"0";262
90;2;1666268470;y;"0";270
91;2;1666268944;y;"0";272
92;2;1666269011;y;"0";273
93;2;1666269581;y;"0";274
94;2;1666270228;y;"0";277
95;2;1666272672;y;"0";284
96;2;1666272752;y;"0";286
97;2;1666288326;y;"0";291
98;2;1666289348;y;"0";294
99;2;1666290571;y;"0";295
100;2;1666292297;y;"0";296
101;2;1666292964;y;"0";300
102;2;1666293867;y;"0";302
103;2;1666294119;y;"0";304
104;2;1666304945;y;"0";313
105;2;1666315153;y;"0";315
106;2;1666317255;y;"0";316
107;2;1666330554;y;"0";319
108;2;1666334225;y;"0";320
109;2;1666339523;y;"0";325
110;2;1666342595;y;"0";330
111;2;1666343234;y;"0";331
112;2;1666343384;y;"0";332
113;2;1666343886;y;"0";333
114;2;1666344562;y;"0";334
115;2;1666346643;y;"0";335
116;2;1666352977;y;"0";341
117;2;1666353554;y;"0";342
118;2;1666355074;y;"0";343
119;2;1666355178;y;"0";344
120;2;1666355558;y;"0";345
121;2;1666358044;y;"0";346
122;2;1666359394;y;"0";347
123;2;1666361030;y;"0";351
124;2;1666365284;y;"0";353
125;2;1666376759;y;"0";358
126;2;1666381112;y;"0";361
127;2;1666400484;y;"0";363
128;2;1666430777;y;"0";371
129;2;1666430994;y;"0";372
130;2;1666433193;y;"0";373
131;2;1666435128;y;"0";374
132;2;1666440002;y;"0";375
133;2;1666445369;y;"0";378
134;2;1666445376;y;"0";377
135;2;1666447701;y;"0";382
136;2;1666451312;y;"0";386
137;2;1666453410;y;"0";388
138;2;1666456789;y;"0";384
139;2;1666457791;y;"0";389
140;2;1666461034;y;"0";391
141;2;1666462430;y;"0";390
142;2;1666503988;y;"0";393
143;2;1666520683;y;"0";402
144;2;1666521742;y;"0";403
145;2;1666524274;y;"0";405
146;2;1666525096;y;"0";406
147;2;1666535809;y;"0";407
148;2;1666539996;y;"0";408
149;2;1666546560;y;"0";409
150;2;1666559248;y;"0";412
151;2;1666592584;y;"0";414
152;2;1666596585;y;"0";415
153;2;1666598659;y;"0";416
154;2;1666606058;y;"0";418
155;2;1666606409;y;"0";420
156;2;1666615418;y;"0";424
157;2;1666626663;y;"0";427
158;2;1666626861;y;"0";428
159;2;1666627178;y;"0";429
160;2;1666628850;y;"0";430
161;2;1666629930;y;"0";431
162;2;1666630375;y;"0";432
163;2;1666635953;y;"0";434
164;2;1666642832;y;"0";438
165;2;1666666165;y;"0";439
166;2;1666684332;y;"0";445
167;2;1666686434;y;"0";447
168;2;1666687596;y;"0";441
169;2;1666703702;y;"0";449
170;2;1666751694;y;"0";456
171;2;1666766448;y;"0";457
172;2;1666781222;y;"0";458
173;2;1666788643;y;"0";460
174;2;1666789151;y;"0";461
175;2;1666789321;y;"0";459
176;2;1666798954;y;"0";462
177;2;1666801429;y;"0";464
178;2;1666805274;y;"0";465
179;2;1666847560;y;"0";470
180;2;1666861249;y;"0";472
181;2;1666862515;y;"0";473
182;2;1666868118;y;"0";474
